club_name,club_logo_url,nationality_name,nation_flag_url
Warta Poznań,https://cdn.sofifa.net/teams/112511/60.png,Poland,https://cdn.sofifa.net/flags/pl.png
Scunthorpe United,https://cdn.sofifa.net/teams/1949/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
IF Elfsborg,https://cdn.sofifa.net/teams/700/60.png,Iceland,https://cdn.sofifa.net/flags/is.png
Al Ahli,https://cdn.sofifa.net/teams/112387/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Al Faisaly,https://cdn.sofifa.net/teams/112389/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
LDU Quito,https://cdn.sofifa.net/teams/110986/60.png,Ecuador,https://cdn.sofifa.net/flags/ec.png
Al Ittihad,https://cdn.sofifa.net/teams/607/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Dundee FC,https://cdn.sofifa.net/teams/180/60.png,Scotland,https://cdn.sofifa.net/flags/gb-sct.png
Lillestrøm SK,https://cdn.sofifa.net/teams/299/60.png,Norway,https://cdn.sofifa.net/flags/no.png
Molde FK,https://cdn.sofifa.net/teams/417/60.png,Norway,https://cdn.sofifa.net/flags/no.png
Wigan Athletic,https://cdn.sofifa.net/teams/1917/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Charlton Athletic,https://cdn.sofifa.net/teams/89/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Eintracht Braunschweig,https://cdn.sofifa.net/teams/110500/60.png,Germany,https://cdn.sofifa.net/flags/de.png
Los Angeles FC,https://cdn.sofifa.net/teams/112996/60.png,United States,https://cdn.sofifa.net/flags/us.png
Al Raed,https://cdn.sofifa.net/teams/112392/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Mumbai City FC,https://cdn.sofifa.net/teams/113300/60.png,India,https://cdn.sofifa.net/flags/in.png
FC Goa,https://cdn.sofifa.net/teams/113298/60.png,India,https://cdn.sofifa.net/flags/in.png
Derry City,https://cdn.sofifa.net/teams/445/60.png,Northern Ireland,https://cdn.sofifa.net/flags/gb-nir.png
Qingdao FC,https://cdn.sofifa.net/teams/112961/60.png,China PR,https://cdn.sofifa.net/flags/cn.png
Fleetwood Town,https://cdn.sofifa.net/teams/112260/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Shandong Taishan,https://cdn.sofifa.net/teams/111724/60.png,China PR,https://cdn.sofifa.net/flags/cn.png
Odisha FC,https://cdn.sofifa.net/teams/113257/60.png,India,https://cdn.sofifa.net/flags/in.png
Ross County FC,https://cdn.sofifa.net/teams/631/60.png,Australia,https://cdn.sofifa.net/flags/au.png
Beijing Guoan FC,https://cdn.sofifa.net/teams/111768/60.png,China PR,https://cdn.sofifa.net/flags/cn.png
Tianjin Jinmen Tiger FC,https://cdn.sofifa.net/teams/111774/60.png,China PR,https://cdn.sofifa.net/flags/cn.png
Chongqing Liangjiang Athletic,https://cdn.sofifa.net/teams/112165/60.png,China PR,https://cdn.sofifa.net/flags/cn.png
Exeter City,https://cdn.sofifa.net/teams/143/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Exeter City,https://cdn.sofifa.net/teams/143/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Al Ittihad,https://cdn.sofifa.net/teams/607/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Al Batin,https://cdn.sofifa.net/teams/112990/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Livingston FC,https://cdn.sofifa.net/teams/621/60.png,Scotland,https://cdn.sofifa.net/flags/gb-sct.png
İstanbul Başakşehir FK,https://cdn.sofifa.net/teams/101014/60.png,Turkey,https://cdn.sofifa.net/flags/tr.png
Drogheda United,https://cdn.sofifa.net/teams/1572/60.png,Republic of Ireland,https://cdn.sofifa.net/flags/ie.png
Macarthur FC,https://cdn.sofifa.net/teams/114604/60.png,Cyprus,https://cdn.sofifa.net/flags/cy.png
Oxford United,https://cdn.sofifa.net/teams/1951/60.png,Bulgaria,https://cdn.sofifa.net/flags/bg.png
IFK Norrköping,https://cdn.sofifa.net/teams/702/60.png,Iceland,https://cdn.sofifa.net/flags/is.png
Sligo Rovers,https://cdn.sofifa.net/teams/563/60.png,Republic of Ireland,https://cdn.sofifa.net/flags/ie.png
Kerala Blasters FC,https://cdn.sofifa.net/teams/113299/60.png,India,https://cdn.sofifa.net/flags/in.png
Shijiazhuang Ever Bright F.C.,https://cdn.sofifa.net/teams/112985/60.png,China PR,https://cdn.sofifa.net/flags/cn.png
Hebei FC,https://cdn.sofifa.net/teams/112978/60.png,China PR,https://cdn.sofifa.net/flags/cn.png
Chicago Fire Football Club,https://cdn.sofifa.net/teams/693/60.png,United States,https://cdn.sofifa.net/flags/us.png
Spartak Moskva,https://cdn.sofifa.net/teams/100767/60.png,Russia,https://cdn.sofifa.net/flags/ru.png
SC East Bengal FC,https://cdn.sofifa.net/teams/111629/60.png,India,https://cdn.sofifa.net/flags/in.png
Jamshedpur FC,https://cdn.sofifa.net/teams/114168/60.png,India,https://cdn.sofifa.net/flags/in.png
Al Raed,https://cdn.sofifa.net/teams/112392/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Bengaluru FC,https://cdn.sofifa.net/teams/113302/60.png,India,https://cdn.sofifa.net/flags/in.png
Jamshedpur FC,https://cdn.sofifa.net/teams/114168/60.png,India,https://cdn.sofifa.net/flags/in.png
Strømsgodset IF,https://cdn.sofifa.net/teams/922/60.png,Norway,https://cdn.sofifa.net/flags/no.png
Mjøndalen IF,https://cdn.sofifa.net/teams/112420/60.png,Norway,https://cdn.sofifa.net/flags/no.png
Carlisle United,https://cdn.sofifa.net/teams/1480/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Mansfield Town,https://cdn.sofifa.net/teams/1940/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
West Ham United,https://cdn.sofifa.net/teams/19/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Millwall,https://cdn.sofifa.net/teams/97/60.png,Kosovo,https://cdn.sofifa.net/flags/xk.png
Shenzhen FC,https://cdn.sofifa.net/teams/111773/60.png,China PR,https://cdn.sofifa.net/flags/cn.png
Randers FC,https://cdn.sofifa.net/teams/1786/60.png,Niger,https://cdn.sofifa.net/flags/ne.png
Luton Town,https://cdn.sofifa.net/teams/1923/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Pohang Steelers,https://cdn.sofifa.net/teams/1474/60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png
Daegu FC,https://cdn.sofifa.net/teams/2056/60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png
Jeonbuk Hyundai Motors,https://cdn.sofifa.net/teams/1477/60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png
St. Johnstone FC,https://cdn.sofifa.net/teams/100804/60.png,Scotland,https://cdn.sofifa.net/flags/gb-sct.png
Ross County FC,https://cdn.sofifa.net/teams/631/60.png,Scotland,https://cdn.sofifa.net/flags/gb-sct.png
Seongnam FC,https://cdn.sofifa.net/teams/981/60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png
Hyderabad FC,https://cdn.sofifa.net/teams/113301/60.png,India,https://cdn.sofifa.net/flags/in.png
Odisha FC,https://cdn.sofifa.net/teams/113257/60.png,India,https://cdn.sofifa.net/flags/in.png
Chongqing Liangjiang Athletic,https://cdn.sofifa.net/teams/112165/60.png,China PR,https://cdn.sofifa.net/flags/cn.png
Mumbai City FC,https://cdn.sofifa.net/teams/113300/60.png,India,https://cdn.sofifa.net/flags/in.png
AFC Wimbledon,https://cdn.sofifa.net/teams/112259/60.png,Wales,https://cdn.sofifa.net/flags/gb-wls.png
Mjøndalen IF,https://cdn.sofifa.net/teams/112420/60.png,Norway,https://cdn.sofifa.net/flags/no.png
Mjällby AIF,https://cdn.sofifa.net/teams/112072/60.png,Sweden,https://cdn.sofifa.net/flags/se.png
Newport County,https://cdn.sofifa.net/teams/112254/60.png,Wales,https://cdn.sofifa.net/flags/gb-wls.png
Sarpsborg 08 FF,https://cdn.sofifa.net/teams/112199/60.png,Norway,https://cdn.sofifa.net/flags/no.png
Al Nassr,https://cdn.sofifa.net/teams/112139/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Al Tai,https://cdn.sofifa.net/teams/112572/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Gangwon FC,https://cdn.sofifa.net/teams/112115/60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png
Odds BK,https://cdn.sofifa.net/teams/1456/60.png,Norway,https://cdn.sofifa.net/flags/no.png
Pohang Steelers,https://cdn.sofifa.net/teams/1474/60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png
Real Salt Lake,https://cdn.sofifa.net/teams/111065/60.png,United States,https://cdn.sofifa.net/flags/us.png
Sligo Rovers,https://cdn.sofifa.net/teams/563/60.png,Republic of Ireland,https://cdn.sofifa.net/flags/ie.png
Odense Boldklub,https://cdn.sofifa.net/teams/272/60.png,Denmark,https://cdn.sofifa.net/flags/dk.png
Benevento,https://cdn.sofifa.net/teams/112026/60.png,Ghana,https://cdn.sofifa.net/flags/gh.png
Bengaluru FC,https://cdn.sofifa.net/teams/113302/60.png,India,https://cdn.sofifa.net/flags/in.png
Kaizer Chiefs,https://cdn.sofifa.net/teams/110929/60.png,South Africa,https://cdn.sofifa.net/flags/za.png
IFK Norrköping,https://cdn.sofifa.net/teams/702/60.png,Sweden,https://cdn.sofifa.net/flags/se.png
Varbergs BoIS FC,https://cdn.sofifa.net/teams/113743/60.png,Sweden,https://cdn.sofifa.net/flags/se.png
Seongnam FC,https://cdn.sofifa.net/teams/981/60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png
Sandefjord Fotball,https://cdn.sofifa.net/teams/1757/60.png,Norway,https://cdn.sofifa.net/flags/no.png
SV Sandhausen,https://cdn.sofifa.net/teams/110178/60.png,Germany,https://cdn.sofifa.net/flags/de.png
CD Huachipato,https://cdn.sofifa.net/teams/111327/60.png,Chile,https://cdn.sofifa.net/flags/cl.png
Birmingham City,https://cdn.sofifa.net/teams/88/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Odisha FC,https://cdn.sofifa.net/teams/113257/60.png,India,https://cdn.sofifa.net/flags/in.png
Örebro SK,https://cdn.sofifa.net/teams/705/60.png,Sweden,https://cdn.sofifa.net/flags/se.png
Odisha FC,https://cdn.sofifa.net/teams/113257/60.png,India,https://cdn.sofifa.net/flags/in.png
Odisha FC,https://cdn.sofifa.net/teams/113257/60.png,India,https://cdn.sofifa.net/flags/in.png
Rochdale,https://cdn.sofifa.net/teams/1955/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Sandefjord Fotball,https://cdn.sofifa.net/teams/1757/60.png,Norway,https://cdn.sofifa.net/flags/no.png
Viking FK,https://cdn.sofifa.net/teams/300/60.png,Norway,https://cdn.sofifa.net/flags/no.png
SønderjyskE,https://cdn.sofifa.net/teams/1447/60.png,Denmark,https://cdn.sofifa.net/flags/dk.png
Mjällby AIF,https://cdn.sofifa.net/teams/112072/60.png,Sweden,https://cdn.sofifa.net/flags/se.png
FC Nordsjælland,https://cdn.sofifa.net/teams/1788/60.png,Denmark,https://cdn.sofifa.net/flags/dk.png
Östersunds FK,https://cdn.sofifa.net/teams/113173/60.png,Sweden,https://cdn.sofifa.net/flags/se.png
AFC UTA Arad,https://cdn.sofifa.net/teams/110750/60.png,Romania,https://cdn.sofifa.net/flags/ro.png
FC Nordsjælland,https://cdn.sofifa.net/teams/1788/60.png,Denmark,https://cdn.sofifa.net/flags/dk.png
AFC Bournemouth,https://cdn.sofifa.net/teams/1943/60.png,Scotland,https://cdn.sofifa.net/flags/gb-sct.png
TSV 1860 München,https://cdn.sofifa.net/teams/33/60.png,Hungary,https://cdn.sofifa.net/flags/hu.png
Melbourne Victory,https://cdn.sofifa.net/teams/111397/60.png,Australia,https://cdn.sofifa.net/flags/au.png
FC Voluntari,https://cdn.sofifa.net/teams/113182/60.png,Romania,https://cdn.sofifa.net/flags/ro.png
Strømsgodset IF,https://cdn.sofifa.net/teams/922/60.png,Norway,https://cdn.sofifa.net/flags/no.png
Al Faisaly,https://cdn.sofifa.net/teams/112389/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Exeter City,https://cdn.sofifa.net/teams/143/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Morecambe,https://cdn.sofifa.net/teams/357/60.png,Portugal,https://cdn.sofifa.net/flags/pt.png
Oldham Athletic,https://cdn.sofifa.net/teams/1920/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Salford City,https://cdn.sofifa.net/teams/113926/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Randers FC,https://cdn.sofifa.net/teams/1786/60.png,Denmark,https://cdn.sofifa.net/flags/dk.png
Stevenage,https://cdn.sofifa.net/teams/361/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
IFK Norrköping,https://cdn.sofifa.net/teams/702/60.png,Sweden,https://cdn.sofifa.net/flags/se.png
Los Angeles FC,https://cdn.sofifa.net/teams/112996/60.png,United States,https://cdn.sofifa.net/flags/us.png
Tranmere Rovers,https://cdn.sofifa.net/teams/15048/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Al Ittihad,https://cdn.sofifa.net/teams/607/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Al Raed,https://cdn.sofifa.net/teams/112392/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Ettifaq FC,https://cdn.sofifa.net/teams/112096/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Ettifaq FC,https://cdn.sofifa.net/teams/112096/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Brøndby IF,https://cdn.sofifa.net/teams/269/60.png,Denmark,https://cdn.sofifa.net/flags/dk.png
Shamrock Rovers,https://cdn.sofifa.net/teams/306/60.png,Republic of Ireland,https://cdn.sofifa.net/flags/ie.png
Longford Town,https://cdn.sofifa.net/teams/1586/60.png,Republic of Ireland,https://cdn.sofifa.net/flags/ie.png
Macarthur FC,https://cdn.sofifa.net/teams/114604/60.png,Australia,https://cdn.sofifa.net/flags/au.png
Jamshedpur FC,https://cdn.sofifa.net/teams/114168/60.png,India,https://cdn.sofifa.net/flags/in.png
Aberdeen,https://cdn.sofifa.net/teams/77/60.png,Scotland,https://cdn.sofifa.net/flags/gb-sct.png
FC Basel 1893,https://cdn.sofifa.net/teams/896/60.png,Germany,https://cdn.sofifa.net/flags/de.png
Mumbai City FC,https://cdn.sofifa.net/teams/113300/60.png,India,https://cdn.sofifa.net/flags/in.png
FC Nordsjælland,https://cdn.sofifa.net/teams/1788/60.png,Denmark,https://cdn.sofifa.net/flags/dk.png
Malmö FF,https://cdn.sofifa.net/teams/320/60.png,Sweden,https://cdn.sofifa.net/flags/se.png
Malmö FF,https://cdn.sofifa.net/teams/320/60.png,Sweden,https://cdn.sofifa.net/flags/se.png
Atlanta United,https://cdn.sofifa.net/teams/112885/60.png,United States,https://cdn.sofifa.net/flags/us.png
Al Taawoun,https://cdn.sofifa.net/teams/112393/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
FC Groningen,https://cdn.sofifa.net/teams/1915/60.png,Sweden,https://cdn.sofifa.net/flags/se.png
Club de Foot Montréal,https://cdn.sofifa.net/teams/111139/60.png,Côte d'Ivoire,https://cdn.sofifa.net/flags/ci.png
D.C. United,https://cdn.sofifa.net/teams/688/60.png,United States,https://cdn.sofifa.net/flags/us.png
Al Fateh,https://cdn.sofifa.net/teams/112390/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Houston Dynamo,https://cdn.sofifa.net/teams/698/60.png,Colombia,https://cdn.sofifa.net/flags/co.png
Houston Dynamo,https://cdn.sofifa.net/teams/698/60.png,United States,https://cdn.sofifa.net/flags/us.png
St. Patrick's Athletic,https://cdn.sofifa.net/teams/423/60.png,Republic of Ireland,https://cdn.sofifa.net/flags/ie.png
Melbourne City FC,https://cdn.sofifa.net/teams/112224/60.png,Australia,https://cdn.sofifa.net/flags/au.png
Perth Glory,https://cdn.sofifa.net/teams/111399/60.png,Australia,https://cdn.sofifa.net/flags/au.png
Melbourne City FC,https://cdn.sofifa.net/teams/112224/60.png,Australia,https://cdn.sofifa.net/flags/au.png
San Jose Earthquakes,https://cdn.sofifa.net/teams/111928/60.png,Ghana,https://cdn.sofifa.net/flags/gh.png
Sheffield Wednesday,https://cdn.sofifa.net/teams/1807/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
FC Seoul,https://cdn.sofifa.net/teams/982/60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png
Kalmar FF,https://cdn.sofifa.net/teams/1439/60.png,Sweden,https://cdn.sofifa.net/flags/se.png
Al Taawoun,https://cdn.sofifa.net/teams/112393/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Lechia Gdańsk,https://cdn.sofifa.net/teams/111091/60.png,Poland,https://cdn.sofifa.net/flags/pl.png
Al Batin,https://cdn.sofifa.net/teams/112990/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
AIK,https://cdn.sofifa.net/teams/433/60.png,Sweden,https://cdn.sofifa.net/flags/se.png
Longford Town,https://cdn.sofifa.net/teams/1586/60.png,Republic of Ireland,https://cdn.sofifa.net/flags/ie.png
Al Hilal,https://cdn.sofifa.net/teams/605/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Central Coast Mariners,https://cdn.sofifa.net/teams/111396/60.png,Australia,https://cdn.sofifa.net/flags/au.png
Lillestrøm SK,https://cdn.sofifa.net/teams/299/60.png,Norway,https://cdn.sofifa.net/flags/no.png
Colorado Rapids,https://cdn.sofifa.net/teams/694/60.png,United States,https://cdn.sofifa.net/flags/us.png
NorthEast United FC,https://cdn.sofifa.net/teams/113040/60.png,India,https://cdn.sofifa.net/flags/in.png
Middlesbrough,https://cdn.sofifa.net/teams/12/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Deportivo Cali,https://cdn.sofifa.net/teams/101102/60.png,Colombia,https://cdn.sofifa.net/flags/co.png
Aragua Fútbol Club,https://cdn.sofifa.net/teams/112916/60.png,Venezuela,https://cdn.sofifa.net/flags/ve.png
Oxford United,https://cdn.sofifa.net/teams/1951/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Changchun Yatai FC,https://cdn.sofifa.net/teams/111769/60.png,China PR,https://cdn.sofifa.net/flags/cn.png
SV Ried,https://cdn.sofifa.net/teams/780/60.png,Austria,https://cdn.sofifa.net/flags/at.png
Abha Club,https://cdn.sofifa.net/teams/113058/60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png
Sydney FC,https://cdn.sofifa.net/teams/111400/60.png,Australia,https://cdn.sofifa.net/flags/au.png
Hebei FC,https://cdn.sofifa.net/teams/112978/60.png,China PR,https://cdn.sofifa.net/flags/cn.png
Changchun Yatai FC,https://cdn.sofifa.net/teams/111769/60.png,China PR,https://cdn.sofifa.net/flags/cn.png
Tianjin Jinmen Tiger FC,https://cdn.sofifa.net/teams/111774/60.png,China PR,https://cdn.sofifa.net/flags/cn.png
Stevenage,https://cdn.sofifa.net/teams/361/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
F.C. København,https://cdn.sofifa.net/teams/819/60.png,Iceland,https://cdn.sofifa.net/flags/is.png
Lincoln City,https://cdn.sofifa.net/teams/149/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Mjällby AIF,https://cdn.sofifa.net/teams/112072/60.png,Sweden,https://cdn.sofifa.net/flags/se.png
Leyton Orient,https://cdn.sofifa.net/teams/1958/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Dundee FC,https://cdn.sofifa.net/teams/180/60.png,Scotland,https://cdn.sofifa.net/flags/gb-sct.png
Western United FC,https://cdn.sofifa.net/teams/114023/60.png,South Sudan,https://cdn.sofifa.net/flags/ss.png
Odds BK,https://cdn.sofifa.net/teams/1456/60.png,Norway,https://cdn.sofifa.net/flags/no.png
FC Cincinnati,https://cdn.sofifa.net/teams/113149/60.png,Norway,https://cdn.sofifa.net/flags/no.png
Middlesbrough,https://cdn.sofifa.net/teams/12/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Bruk-Bet Termalica Nieciecza,https://cdn.sofifa.net/teams/112510/60.png,Poland,https://cdn.sofifa.net/flags/pl.png
Cambridge United,https://cdn.sofifa.net/teams/1944/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
FC Midtjylland,https://cdn.sofifa.net/teams/1516/60.png,Denmark,https://cdn.sofifa.net/flags/dk.png
Śląsk Wrocław,https://cdn.sofifa.net/teams/111092/60.png,Poland,https://cdn.sofifa.net/flags/pl.png
Peterborough United,https://cdn.sofifa.net/teams/1938/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Campionii FC Arges,https://cdn.sofifa.net/teams/100759/60.png,Romania,https://cdn.sofifa.net/flags/ro.png
Campionii FC Arges,https://cdn.sofifa.net/teams/100759/60.png,Romania,https://cdn.sofifa.net/flags/ro.png
Wigan Athletic,https://cdn.sofifa.net/teams/1917/60.png,England,https://cdn.sofifa.net/flags/gb-eng.png
Heart of Midlothian,https://cdn.sofifa.net/teams/80/60.png,Scotland,https://cdn.sofifa.net/flags/gb-sct.png
